warning_detector,drift_detector,warning_signal,drift_signal,model_type,files,mean_accuracy,mean_detected_drifts,mean_time_s,total_time_s
seed,seed,error,error,ht,10,0.9544141414141413,0.4,7.256050254100137,72.56050254100137
adwin,adwin,error,error,ht,10,0.9542929292929292,2.5,2.0027862915999997,20.027862915999997
adwin,adwin,uq_entropy,uq_entropy,hf,10,0.9537878787878789,2.1,17.76623807080002,177.66238070800023
seed,adwin,error,uq_mi,hf,10,0.9531868686868685,0.2,15.284241854100037,152.84241854100037
adwin,seqdrift2,error,error,ht,10,0.9530808080808082,1.5,2.25671552480012,22.5671552480012
adwin,adwin,uq_vote,error,hf,10,0.9530353535353535,0.3,12.088017200000001,120.88017200000002
adwin,adwin,uq_vote,uq_vote,hf,10,0.9529040404040405,0.9,14.554542620900019,145.5454262090002
adwin,adwin,uq_entropy,error,hf,10,0.9527929292929291,1.2,13.454373383300027,134.54373383300026
adwin,seqdrift2,uq_mi,uq_mi,hf,10,0.9527020202020202,0.3,15.129187558400053,151.29187558400054
seed,seqdrift2,error,error,ht,10,0.9520555555555555,0.1,4.250660741600041,42.506607416000406
seed,adwin,uq_mi,error,hf,10,0.9520303030303031,0.0,13.837801062500148,138.37801062500148
seed,adwin,uq_mi,uq_mi,hf,10,0.9520303030303031,0.0,15.539733195799636,155.39733195799636
seed,adwin,uq_mi,uq_vote,hf,10,0.9520303030303031,0.0,13.8300361874999,138.300361874999
seed,adwin,uq_mi,uq_entropy,hf,10,0.9520303030303031,0.0,13.708579270899918,137.08579270899918
seed,adwin,uq_vote,error,hf,10,0.9520303030303031,0.0,13.562641545699808,135.62641545699807
seed,adwin,uq_vote,uq_mi,hf,10,0.9520303030303031,0.0,13.86069376660016,138.6069376660016
seed,adwin,uq_vote,uq_vote,hf,10,0.9520303030303031,0.0,13.976689846000227,139.76689846000227
seed,adwin,uq_vote,uq_entropy,hf,10,0.9520303030303031,0.0,13.93253394579997,139.3253394579997
seed,adwin,uq_entropy,error,hf,10,0.9520303030303031,0.0,13.674244258400085,136.74244258400086
seed,adwin,uq_entropy,uq_mi,hf,10,0.9520303030303031,0.0,14.874477295999895,148.74477295999895
seed,adwin,uq_entropy,uq_vote,hf,10,0.9520303030303031,0.0,14.886094912699809,148.8609491269981
seed,adwin,uq_entropy,uq_entropy,hf,10,0.9520303030303031,0.0,15.063297745799991,150.6329774579999
seed,seed,uq_mi,error,hf,10,0.9520303030303031,0.0,17.229457478900166,172.29457478900167
seed,seed,uq_mi,uq_mi,hf,10,0.9520303030303031,0.0,17.85788282500016,178.5788282500016
seed,seed,uq_mi,uq_vote,hf,10,0.9520303030303031,0.0,18.38356328769969,183.8356328769969
seed,seed,uq_mi,uq_entropy,hf,10,0.9520303030303031,0.0,18.520964566499423,185.20964566499424
seed,seed,uq_vote,error,hf,10,0.9520303030303031,0.0,18.356693841599917,183.56693841599918
seed,seed,uq_vote,uq_mi,hf,10,0.9520303030303031,0.0,19.20673203749975,192.0673203749975
seed,seed,uq_vote,uq_vote,hf,10,0.9520303030303031,0.0,19.308875604000058,193.0887560400006
seed,seed,uq_vote,uq_entropy,hf,10,0.9520303030303031,0.0,18.92738727069991,189.2738727069991
seed,seed,uq_entropy,error,hf,10,0.9520303030303031,0.0,18.49183509170016,184.9183509170016
seed,seed,uq_entropy,uq_mi,hf,10,0.9520303030303031,0.0,17.128960599900164,171.28960599900165
seed,seed,uq_entropy,uq_vote,hf,10,0.9520303030303031,0.0,16.70073587930001,167.0073587930001
seed,seed,uq_entropy,uq_entropy,hf,10,0.9520303030303031,0.0,17.750403300099606,177.50403300099606
seed,seqdrift2,uq_mi,error,hf,10,0.9520303030303031,0.0,13.633032858299885,136.33032858299885
seed,seqdrift2,uq_mi,uq_mi,hf,10,0.9520303030303031,0.0,13.752760095799932,137.5276009579993
seed,seqdrift2,uq_mi,uq_vote,hf,10,0.9520303030303031,0.0,13.78120385409984,137.8120385409984
seed,seqdrift2,uq_mi,uq_entropy,hf,10,0.9520303030303031,0.0,13.477888808499666,134.77888808499665
seed,seqdrift2,uq_vote,error,hf,10,0.9520303030303031,0.0,13.579520287699598,135.79520287699597
seed,seqdrift2,uq_vote,uq_mi,hf,10,0.9520303030303031,0.0,13.66231889180035,136.6231889180035
seed,seqdrift2,uq_vote,uq_vote,hf,10,0.9520303030303031,0.0,13.74557046669961,137.4557046669961
seed,seqdrift2,uq_vote,uq_entropy,hf,10,0.9520303030303031,0.0,13.466414937599803,134.66414937599802
seed,seqdrift2,uq_entropy,error,hf,10,0.9520303030303031,0.0,13.455108012500386,134.55108012500386
seed,seqdrift2,uq_entropy,uq_mi,hf,10,0.9520303030303031,0.0,13.676544975100114,136.76544975100114
seed,seqdrift2,uq_entropy,uq_vote,hf,10,0.9520303030303031,0.0,13.84627662490002,138.4627662490002
seed,seqdrift2,uq_entropy,uq_entropy,hf,10,0.9520303030303031,0.0,13.503295178900043,135.03295178900044
seed,adwin,error,error,ht,10,0.9519040404040403,0.1,5.705919058299969,57.05919058299969
adwin,adwin,uq_vote,uq_entropy,hf,10,0.9517424242424243,0.2,12.347355962400048,123.47355962400047
adwin,seqdrift2,uq_entropy,error,hf,10,0.9510151515151515,1.3,13.608501470699867,136.08501470699866
adwin,seqdrift2,uq_entropy,uq_mi,hf,10,0.9509949494949496,0.3,12.094723320699813,120.94723320699813
adwin,seqdrift2,uq_mi,error,hf,10,0.9508383838383837,1.0,19.772985458499896,197.72985458499898
adwin,adwin,uq_vote,uq_mi,hf,10,0.9504595959595961,0.3,11.711446487499984,117.11446487499984
adwin,adwin,uq_mi,error,hf,10,0.9502373737373737,1.1,13.5763693708,135.763693708
seed,seqdrift2,error,uq_entropy,hf,10,0.9500707070707071,0.2,13.508831650100365,135.08831650100365
adwin,seqdrift2,error,uq_entropy,hf,10,0.9500656565656567,1.4,14.439273091800032,144.39273091800032
adwin,seqdrift2,uq_vote,error,hf,10,0.9499848484848485,0.3,12.618163900000217,126.18163900000218
adwin,seqdrift2,uq_vote,uq_mi,hf,10,0.948909090909091,0.1,10.609302087599918,106.09302087599917
seqdrift2,seqdrift2,error,error,ht,10,0.9488484848484848,4.0,2.0611195707995646,20.61119570799565
seqdrift2,seqdrift2,uq_vote,error,hf,10,0.9487171717171716,4.1,12.886973850099821,128.8697385009982
adwin,seqdrift2,uq_mi,uq_entropy,hf,10,0.948479797979798,0.7,16.631328954099992,166.3132895409999
adwin,seqdrift2,uq_entropy,uq_entropy,hf,10,0.9476212121212122,0.7,16.08001703330001,160.8001703330001
adwin,seqdrift2,uq_vote,uq_vote,hf,10,0.9470353535353535,0.3,10.759197887600113,107.59197887600112
adwin,seqdrift2,uq_vote,uq_entropy,hf,10,0.9465202020202022,0.1,10.60298616709997,106.02986167099971
