file,timestamp,source,drift_type,ecpf_protocol,detector_type,warning_detector,drift_detector,warning_signal,drift_signal,uq_mode,uq_raw,uq_smoothed,gddm_U,gddm_G_warning,gddm_G_drift,gddm_drift_type,buffer_len,pool_size,best_idx,acc_current_on_warning,acc_best_on_warning,acc_new_on_warning
recurring_sud_sea100k_g00.csv,6011,meta_ecpf_hcdt,sudden,hcdt_detection_warning_then_rddm_validation,,,,,,mi_like,,,,,,,33,9,9,0.8181818181818182,0.9696969696969697,0.8787878787878788
recurring_sud_sea100k_g00.csv,6069,meta_ecpf_hcdt,sudden,hcdt_detection_warning_then_rddm_validation,,,,,,mi_like,,,,,,,278,8,22,0.9388489208633094,0.9460431654676259,0.9280575539568345
recurring_sud_sea100k_g00.csv,6849,meta_ecpf_hcdt,sudden,hcdt_detection_warning_then_rddm_validation,,,,,,mi_like,,,,,,,31,8,2,0.9354838709677419,1.0,0.967741935483871
recurring_sud_sea100k_g00.csv,6951,meta_ecpf_hcdt,sudden,hcdt_detection_warning_then_rddm_validation,,,,,,mi_like,,,,,,,31,8,26,0.8387096774193549,1.0,0.9032258064516129
recurring_sud_sea100k_g00.csv,7972,meta_ecpf_hcdt,sudden,hcdt_detection_warning_then_rddm_validation,,,,,,mi_like,,,,,,,31,9,26,0.8709677419354839,0.8709677419354839,0.8387096774193549
recurring_sud_sea100k_g00.csv,9645,meta_ecpf_hcdt,sudden,hcdt_detection_warning_then_rddm_validation,,,,,,mi_like,,,,,,,31,9,28,0.9032258064516129,0.967741935483871,0.8387096774193549
recurring_sud_sea100k_g00.csv,9840,meta_ecpf_hcdt,sudden,hcdt_detection_warning_then_rddm_validation,,,,,,mi_like,,,,,,,31,7,29,0.967741935483871,1.0,0.9032258064516129
recurring_sud_sea100k_g00.csv,11754,meta_ecpf_hcdt,sudden,hcdt_detection_warning_then_rddm_validation,,,,,,mi_like,,,,,,,31,8,29,0.9032258064516129,0.967741935483871,0.9032258064516129
recurring_sud_sea100k_g00.csv,12761,meta_ecpf_hcdt,sudden,hcdt_detection_warning_then_rddm_validation,,,,,,mi_like,,,,,,,31,6,2,0.967741935483871,0.967741935483871,0.9032258064516129
recurring_sud_sea100k_g00.csv,12916,meta_ecpf_hcdt,sudden,hcdt_detection_warning_then_rddm_validation,,,,,,mi_like,,,,,,,31,6,31,0.8387096774193549,0.9354838709677419,0.8387096774193549
recurring_sud_sea100k_g00.csv,13125,meta_ecpf_hcdt,sudden,hcdt_detection_warning_then_rddm_validation,,,,,,mi_like,,,,,,,31,6,31,0.8709677419354839,0.9354838709677419,0.8387096774193549
recurring_sud_sea100k_g00.csv,14499,meta_ecpf_hcdt,sudden,hcdt_detection_warning_then_rddm_validation,,,,,,mi_like,,,,,,,31,6,2,0.8709677419354839,0.9032258064516129,0.9354838709677419
recurring_sud_sea100k_g00.csv,14736,meta_ecpf_hcdt,sudden,hcdt_detection_warning_then_rddm_validation,,,,,,mi_like,,,,,,,31,4,31,0.967741935483871,1.0,0.8387096774193549
